Emotion,Text
neutral, Which room are you in ? 
surprise,Don't shit me nor #shock me nomore.. I could #careless bout yU &amp; yo #feelins.. Ion give a fuck!!
surprise,I thought i was going shopping not playing Daniel Boone.  
surprise,"Just got my first &quot;Hey, I'm a student. Can I interview you?&quot; email. I feel so successful. #astonishment"
surprise,Laura stared up at Ross in stupefied amazement . 
surprise,Thanksgiving Promo! I will have a Card Reading Session later in Nuvali at around 8pm. Great discount awaits! 
joy,"Nothing like snow outside, while hot cocoa in hand, fresh Christmas cookies and The Santa Clause on TV.  "
neutral,After you . 
fear,"Garacias a ti, es seguroo que el clima esta en el alma!! "
fear,"Emmeline grew pale , both from horror at Bastide 's plight and her own . "
sadness,"Heartbroken , Maria had to return to the convent and remain a nun for the rest of her life . "
joy,Melbourne apartment has a double sized walk-in rain shower and a bathroom packed with Aesop goodies. Now that's what I call heaven! 
anger,@RawanAjina and here I was about to tweet for the wind and rain to stfu so I can go the fuck to sleep...  
fear,2 TIX TO TONIGHT'S @OfficialPWG BUT NO FUCKING RIDE!!! FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK FUCK
sadness,"Several years ago my brother died in an accident. When I heard about it, I was very sad. It took years until I resigned myself to it."
neutral," Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "
joy,weekend! was hoping to have a good one! then I looked at my link diary and the schools say of making weekends fun is shit loads of hwk.
neutral, The brain ! 
anger,"I am one of four directors of a company. We inherited land held by our family - ours is the 5th generation. A democratic decision was made to stop and close an area of mangroves."""
joy,Birthday and Christmas holidays coming up around the corner 
surprise,Overal wandelende kinderen met vuilniszakken en grote tassen in de hand. Ook ineens erg veel auto's rond de scholen.  
surprise,"First of all the crowd was stunned , and then they erupted , giving Allan a marvellous reception on his lap of honour But the night was yet young . "
anger, that awful parking garage drives me angry
neutral, Which days are these classes on ? 
joy,@Gina_Mick i hope i see you this weekend just waiting for a text from 
fear,The Training Sub-Committee is extremely concerned at the amount of pressure Trainers are under and feel there is an urgent need for a group of people to begin training now . 
sadness,My current work load is too much.  The feeling comes back from time to time.
joy,I was wrong. I forgot about Audacity crashing before I can save my work. 
fear,Really afraid to be bipolar and have more problems of self harm than cutting … :'( 
neutral, So do I . 
joy,"@HlfBlndePrincss yep my  is neutral is the best person u can be, not good not bad, not for not against.   is neutral"
joy,"Good friends, perfect pancakes, free music, bright sunshiny day. And there's still the whole afternoon to enjoy. "
joy, Of course I should have ! You certainly deserve them ! You put up with all of us . 
joy,"When you skype with your dad and decide too tell him you've self harmed, and he looks at you in disgust. "
joy,School and work are back in my life as of 8 o'clock tomorrow morning. 
fear,"The boss sounded agitated when I spoke to him over the phone . "" "
surprise,The best way to start a Monday morning is to have a squirrel jump out at you from a garbage can. #wakeupcall
disgust,! RT @_DynastyP: #ThingsThirstyPeopleDo Kiss more than one person in the mouth -____-
sadness,"A sad old woman rose from her chair , as from a dais , to take their coats and hang them on a row of hooks nailed against a wall . "
sadness,Last play performance tonight @ 7:30 ... :( don't want it to be done 
sadness,"The lugubrious publican had seen it as his job to repel strangers and had employed to that end an impressive armoury of taciturnity , malevolent glances , warm beer and poor service . "
surprise,@Joey7Barton surprised you are not on strike today.. You love a ride on a pointless bandwagon.
joy,"@TheBodyShopUK Joy is a real xmas tree, baubles, glitter, muddle wine and christmas cd - AKA tonight! "
surprise,"Ce qui est fabuleux ds la fête des prénoms, c'est qu'on oublie tout le temps mais il y a tjrs une personne qui nous le rappelle "
fear,Father forgive me for my and help me live boldly in Your #truth #GloryOfTheCross
anger,I was about to rage on @fuckall0fyou so I got in my car and tried to leave. Gotta control my 
surprise,Meluk oppa lee dink RT @Lee_JH_Lovers kalau seorang @LeeJH_2107 didepanmu apa yg kalian lakukan...? Dijawab yahhh :)
surprise,@j_marchione okay its gunna be the best date ever i cant wait to ask you sometime this week when you least expect it
anger,Mempan dunk ya ! RT @Miraayu1: Gaa mempan ! RT @Enda_ScounDrel: Ya mira kabuuur mah. Tu om sungkai kaki mira bia jatuah
sadness,"When Annie 's daughter died at the age of five , she was heartbroken . "
sadness, I don ’ t have one time in particular . I just go to sleep whenever I feel tired . 
joy,"@KShitemi , did make good her threat?"
surprise,Thinks that @melbahughes had a great 50th birthday party :) 
joy,My mom just said I need to leave here earlier because it's supposed to snow.. #HATEsnow &#xA;Not a morning #person
disgust,"it's one thing to dream of like a model or something, but not of your neighbor.  ugh people just me."
joy,5 minutes until a 3 hour conference call 
joy,"fed up of feeling this way, i need to get stuff  and i  tomorrow is homework all day then doctors appt ........."
anger,Last week I had planned to play tennis and had booked a tennis court.   However when I arrived at the university gym the clerk told me that the court was being used for lessons.
joy,I felt joy when I red my name in the list of the approved in the entrance college examination.
neutral, I'm going to graduate this summer . 
fear,I watched a very terrifying film in LT2.  This film really pushed my heart out of my body and I was forced to go out before the second reel ended.
joy,12 longggg hours with my parent NOT... 12 long ass hour with my sister... GOD HELP ME #UGH
joy,"We're glad to hear that  RT @Fabstter: @MrSteerBurger Nothing beats a burger anytime, I'd be sure to come by one day!!"
joy,Christmas break will be one big reward after what I've had to endure in  these past few months!    
fear,They were a little anxious about the flight over the Timor Sea as their compass had been 10 awry on the outward journey though it was correct at Melbourne . 
joy,Yeah! I found a pack of Orville Redenbacher's popcorn and some Jelly Belly beans in my candy box (I thought it was all empty). ^_^
anger, I never went to court . 
joy,AND I'M GOING AT TEN AND COMING BACK AT ONE! RT @Shahad_N: NO CLASSES TOMORROW \o/ ! #Joy
joy,Dad's left me in charge of finding a hotel for when we go to London. 
joy,"Oh dear, thanking people one by one for their birthday messages on facebook requires a lot of work but I love it! "
anger,"i wish i could go up to the bitch that stabbed me in the back and rip her heart out. oh wait now i remember, SHE DOESN'T HAVE ONE! "
fear,My father ’ s angry face always makes my blood run cold . 
sadness,Everyday I check the mail.. 
fear,"I called upon the Lord in distress: the Lord answered me, and set me in a large place. Psalm 118:5  "
anger, Yeah right ! I ’ m serious ! You should also cut down on your sugar intake as well . You drink carbonated drinks that are high in fructose syrup ! It ’ s really not healthy ! 
joy," Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . "
joy,Tomorrow is going to be a really long day. #cantwait
joy,@morganpabbott &quot;JUDAH'S BEEN MATCHED!!! JUDAH HAS A FAMILY!!!!!!! #praise I'm literally jumping and crying with excitement&quot; #BAWLING
joy,my night was perfect ❤ now bedtime... work in 2 hours... 
anger,"With the job appointments committee when the headmaster in charge explained that a male teacher was more suitable for the particular post.  I had more years of service than the male teacher, but this was not taken into consideration.  I could have been given a less attractive job if things had gone the way the headmaster wanted."
sadness,reading hopeless romantic blogs with @_HammE makes me realise how much   I need a boyfriend... 
anger, You ought to have worked harder then you wouldn ’ t have failed your exams . You have to take a job and study . 
joy,"i just love being wide awake knowing i have to get up early for school, "
joy,It's like  in here... a solid hour of @MikeCleary2 and @kyletravis09 talking sports... 
surprise,;3 Big Song Coming Peeps! #Surprise!
fear,"When riding in a very fastly-driven car on a lose metal road at a very late hour - no other cars on road, and driver was taking corners very sharply. I felt afraid - because if an accident happened, the area was very isolated. Also, I feared for driver, after I was dropped off - would he make it home safely."
fear,When I was six years old we were on holiday in France. There was very heavy weather then.
sadness,"After studying a lot for my H.S.C exams, I could not make it to the medical stream and I felt sad about this."
joy,"With a wide , delighted smile , because she had n't really expected ever to see him again , she teased , ` Are you following me ? "" "
sadness,I guess I should be thankful I even have a job but not being able to eat with my family doesn't make me thankful for anything :/ 
sadness,@sleepnomorenyc @lily_roo I would LOVE to see!! Desperate to see....alas no tickets available this weekend....:(
neutral,What upsets you ? 
sadness,A grief-stricken Mr Ellis said yesterday : ` It 's a nightmare . 
sadness,"I felt so desolate , and so angry . "" "
joy,One Of My Family Members Live For Drama 
fear,"It's ok to be afraid, as long as your  out ways your  :)"
neutral,:) @thomestifanos security is a very juicy business. 
fear,"For Williamson , only soldiers who had fought in the war , and who understood the horrors of modern conflict , could save Europe from further disaster . "
anger,A very close friend of mine was refused entrance to the medical school.  Her grades were very good and she should not have been left out.  Biased judgment !
fear,I always let em take dat walk without running after them but why when i want em too stay 
joy,i will be the last fucking person on this campus thanks to my copy editing/layout class that ends at 710 
surprise,"and now.. THE CONFESSION of the year... Until it reached its final 20 minutes, I was thoroughly liking Bodyguard :-|  "
joy,"Spent last hour walking round Lincoln Christmas Market, now time to drive home !! "
fear,"I have a that one day I'm going to sit to pee and something's going to bite my ass, or worse my twat. #anaconda #fuckthatshit"
neutral, Was he upset when you told him you had to leave this weekend ? 
surprise,i rebooked my ticket to home and will arrive 2 days earlier ... :)
joy,I love my baby girl :) she is so precious to me  
anger,Lorraine Kelly eskzjh akjbg selkwkfja ipf eh  
anger,my heart is racing and I'm shaking 
disgust,What is Chris brown thinkin with blonde hair.... #eminemlookalike
joy," Yeah , I will be there . "
surprise,really wish that you wouldnt have made me look dumb by saying you were so diff from all other guys.. but you did
anger,That moment when u're in a public transport &amp; ur mp3 player isn't functioning. 
anger,I felt angry when I saw on T.V the last slaughter of negroes in South Africa.
fear,Somebody told her friend that she would hit me wherever we would meet.
surprise,"Hahaha RT @HopeyPhly: We call it Rape...They call it suprise Sex,Really?!!! Ya neh 0_o"
sadness,@Nondu_M Cabanga nje ukuthi uKeith Sweat will be performing alongside Ringo and SA jazz artists in semi-towns! 
joy,As it's the weekend I'm taking this 11.30 slump and crawling back into my bed rather than pushing through it. 
neutral, Where ? 
joy,Got a full day today! -_-
fear,"So my @OfficialPWG pic flood will start in 5 minutes. If you don't like wrestling or a fan of my photography,  you were warned"
surprise,What tonight's class was supposed to be: professor swap. What it really was: pop quiz. #happyholiday
fear,Ran into a parking car on a bicycle.
neutral, Yes . 
joy,"However , in 1878 , deaf education in Greenock faced a crisis because there was no-one able to continue to teach the children , and one parent was not happy about his child being taught in sign language . "
anger,When after a lot of provocation my child threw a plate on the floor.
sadness,Remembering the moment when i started twitter and said how the fuck do i get in lists?!?!? and i still think that till this day.... 
surprise,Aww my babe wants to know what his huge present is but why ain't he patient lol! :-.)
fear,` You can imagine our horror at finding a false ceiling in a secure establishment and ducts like this . 
joy,@keriaann08 that is great sis. I am glad you are truly happy. 
sadness,"@KundariyaHardik haha nah man. I'll miss that lab actually, and last clad with ya "
joy,I want to dedicate my life to making people laugh and smile. 
surprise,"wishing i could be relaxing and doing fun things like all my friends, but i'm working on a paper in gracie's #ihavenolife"
joy,This is gonna be a long night !!Can't wait for this week to be over :) at least there is only 12 days of school left !!!!! #MOTIVATION
anger, it sounds like any job will be better than the one you have now ! 
fear,To live in is a life half-lived.  Spanish Proverb
joy,"@TheBodyShopUK having a date night in with my boyfriend. Gorgeous dinner, glass of wine and a snuggle watching a good dvd :-)"
joy,Amid intense media excitement and stringent security Mandela was given a tumultuous ticker-tape welcome in New York where he received the freedom of the city . 
joy,"six page paper, presentation, and pike banner all due tomorrow #busybusy "
disgust," I have to say  you are a nasty, greedy arsehole without conscience - how many dead and suffering from Bhopal? "
joy,Looks like the laundry fairy hasn't come yet again this week .. I know what I'll be doing later!! 
anger,Of course Ed was really peeved about how Martinez handled the whole Harley business . 
joy,I felt joy when I heard over the radio that I had been successful in my Primary School Leaving Certificate Examination and was selected for Secondary School.
joy,Emmet Otters Jug Band Christmas is on Netflix streaming. 
joy,Worst week ever! And tomorrow is Monday 
joy,@Hacienda. Top of the hacienda tree.division.
sadness,"@DatYngCal ew, i was only busy for like an hour. you'll be busy for like 4... "
neutral, No joke ! 
joy,"Sure mom i would love to clean the fuckin house, wasnt planning on going anywhere i was just walking to mar car for fuckin excercise "
joy,my mom is trying to be a photographer and take pictures with us cause it's snowing. #thistooshallfail
anger,Why am I sitting in the lincoln tunnel after midnite? There should be no traffic right now. 
joy,christmas party with the family 
surprise,Swaggggiiinnnn it at out wit tha boo...he aint even know I had rhythm like dat 
anger,"In 1982, I was annoyed at an uncle who was drunk and was beating up his old father.  He claimed that the father was responsible for his guardian's failure."
joy,Hem your  with  so they won't unravel.~Unknown &   #faith
fear,"John 's father came down from Cheltenham to see her , grieving and concerned for her future . "
joy,I woke up this morning with in my heart &amp; a #smile on my face. What an #AMAZING #God we serve!
sadness,guess who doesn't have her floral design course.  this girl.  
sadness,that depressing moment when you drop your candy cane &amp; it shatters into 39975216900076542 billion pieces :( 
surprise,"Vanochtend voorgesprek presentatie van event gehad, en nu om de tafel voor format dinershow met klant! Daarna Sintinkopen doen... "
fear,"When I did not get admission in M.Sc after my B.Sc, I felt really bad.  When I started my journey to Bombay, after having accepted my uncle's offer to come to Bombay, I was afraid, wondering if I  would succeed or not. "
fear,"Fights that I see in the middle of the street, robberies, fear of darkness when going home."
anger,He was furious with me for ringing him . 
fear,I'll get my result of high school. 
fear,I had a car accident.
sadness, Bummer . I guess we're both out of luck . 
joy,Have you seen that house ? 
joy,Two finals next week &amp; back to back! Cover letters all due next week #morejoy  1st round interview next week #superjoy
sadness,"I grabbed some money today in case I went to Starfucks or something before rehearsal. Then I realized, no more rehearsal. "
sadness,Both Mr Pitman Senior and Junior were reps who grew progressively despondent over the standard of rooms and services they encountered on their travels . 
fear,"Nothing could wash away the beastliness of that house or the horror of the sight of Phyllis Henley 's body , but he felt the need to try . "
fear,I'm ready to scour our southern brother for an  but a outweighs my #confidence. Publicly I admit; I'm afraid of #rejection.
disgust,Just watched a grown man belittle his mother in public 
joy,“@CalebSmith41: Money can't buy joy” Only peace of mind! 
sadness, This is a pity ! 
fear,@yasaikatsucurry @Declasm i just narrowly escaped being left solo with 2 children 
fear, is like the red headed male  step-child of who ain't come out the closet and got a black sheep for a pet.
neutral, Fine too . 
surprise,@ayumamama i was going back to brown....that didn't happen! ;) 
joy,Christmas lights make me happy! 
sadness,"&quot;@JenBunny1985: I have nothing against ugly people, just ugly people who call other people ugly...that's just ridiculous&quot;&lt;"
surprise,today could be the day...love that early :) :)
joy,Better shower and sleep.. Poms competition at Milwaukee tomorrow! Gotta be at school at 6:30 
joy,"` They are naturally excited about getting the championship back after 33 years , "" he said . "
surprise,Oh hey I just got a magazine in they mall they I signed up to start getting... Last fall! 
surprise,Currently on my way back home frm doin A lil Shopn for my Wife @dreadhead1384 Honey:)
joy,"@fev_rides_again And week, for you likewise! My 2b in touch!"
joy,Ok done some homework...now of to the gym and im returning to homework and cleaning 
fear,"Wahou ! Une escorte de gendarmerie pour deux camions avec marqué 'Radioactive' dessus, à fond dans les bouchons bordelais ... "
anger,"` Because she still sounded mad at me , and I thought you might try to dissuade me . "
joy, America ? Did you get admit to MIT ? 
surprise,"Pasta is a vegetable, right??!! Well, at least according to the can of my veggie soup it is! "
fear,factor is my show ohwere do i start my dad&lt;3 got me hip to that show they be doing sum crazy shit for money ode shit mane&lt;3 eaten bugs
neutral, As long as it doesn't take too long . 
anger,It smells like an ashtray in here ! 
surprise,Traffic jam of Bandra-Worli Sea link from Bandra to Worli. 
sadness,When a close friend of mine who was with me in first year could not make it to the second year.
joy,I gottaa do my math homework before next period AND get an essay done by tomorrrow. -.- plus I have work tonight
disgust, lawyer &quot;I believe in his innocence.&quot; What about the innocence of his victims? #PennState
neutral,It seems that you get antsy when you hear I praise another guy . 
surprise,"I just rec'd the 1st show name for @LancasterPAC 2012/13 Season! It's for me to know, and you to find out... It's a "
neutral," No , never . "
surprise,@amberschwen15 I would feel obligated if you knew when it happened. It's all about the element of 
joy,Get all the way to dyfatty &amp; only THEN do I get a tx that the kids not in school today. Niceeee oneeee! Have to drive through town now 
fear,the way tears r rollin down ryt nw its makin me feel so unsafe..sucha cruel world..hearin this stuff jus scares the hell outta me! 
surprise,My daughter said I really want to go to  I said Oh really.. she don't know I got front row tickets already 
joy,Buying stuff in batman boxers and watching everyone around me stare at my crotch.. 
anger, We'll see how much fun it is after they take all your money ! ! 
joy,@Dawnietee swimming in morning. Little one till 1400 then off to watch footy with some mates. Home n bed work 0330 Sunday. u? X
joy,I just found out Mumia Abu-Jamal won't get the death penalty! 
anger,"And then of course , silly girl , she went and told him -- he was so livid he wouldn't have nothing more to do with her . "" "
joy,"The of running into 1 of my former students and knowing they remember you, and are making a difference in life #happythanksgiving #nyc"
surprise,Een teleurgesteld mannetje thuis. Het kind dat hem had verpakte het cadeautje slechts in een doos. #hartzeer
sadness," My colleagues quickly get promotions , while I always get sidelined . I don't know what to do anymore . "
joy,"Pleasure can be no more than a gourmet 's appreciation for delicacies , whereas a happy person can readily settle for a much simpler diet . "
anger,I'm gonna have a heart attack and die young prolly.  #Dispatcher
sadness,"I Cant Wake Up Early For School , But When I Dont Have School , Im Up "
joy,Teaching my dad how to use an ipad. It's like watching a caveman that discovered fire 
sadness,I feel sadness from the fact that I was not born with a better appearance.
sadness,There is no milk and I wanna cup of tea :( 
joy,Same headache booming in my head. 
anger,Heart full of  full of  of &#xA;Held in my #Chest
neutral," Well , who all is going to be there ? "
surprise,Bunny is moving about hippity hop! But when will this new bundle of joy come out? :D  #Decemberbaby :)
sadness,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.
joy,"Make the shuttlecock fly away pals, let's work out ! Friday's always pleasant and healthful. "
joy,Lol my lil sis whoop that boy ass lol
anger,He felt their resentful eyes burning the nape of his neck . 
joy,When I talk to my friends.
anger,The newcomers feel cold shouldered by the local population on occasions and become resentful of their almost tribal clannishness . 
fear,I'm scared to love because I'm scared you'll leave 
sadness,Not doing well in an exam.
joy,@emmado89 was this for me?? Haha next weekend? Think Lee out all weekend so  yet again 
sadness,My brothers making fun of my music :(
neutral," You have 16 balls on the table , 7 solid colored , 7 striped colored , a black 8 ball , and the white ball . "
neutral, Salesman ? 
anger,"` Nevil does n't work for me , "" he snapped , truly indignant . "
neutral, Exactly . 
sadness,Taheb 's face became sad . 
joy,this wetness increases my chances of slipping and busting my shit and making a fool of myself..  
disgust,And why is this white girl talkin like a hood rar? 
anger,"His eyes narrowed , and she felt a flicker of annoyance , this time aimed at herself . "
joy,What my Sunday consists of is watching football and cleaning the house before my parents come home. 
anger,"At an undeserved attitude toward a man, when human personality is not treated decently."
fear,"N-SULATE  You can be the protecting cushion between those you lead, and the forces of &amp; failure. #churchspeaker  #fb #dad"
joy,what a nice garden ! Look at these tulips ! 
joy,"Good thrift store finds, lunch in Old Palm, made kugel, pecan pie, pumpkin muffins, and a rue with the fan for tomorrow.  #fb"
surprise,Thuis na een leuke avond. Mijn super mooie adidas horloge gekregen en de dvdbox van gooische vrouwen #top
sadness,Come visit me at Cerritos mall. Here all night by myself 
fear,Someone must have buried them when they were too frightened to hand them in to the police station . 
anger,One career wife spoke about her exasperation when her husband listened to her with half an ear as he watched television . 
anger,No  tonight because of shitty england playing a match. #hate
neutral," OK , next ? "
fear,She 'd felt quite frightened and had n't accepted the invitation . 
surprise,office  today  who got who? Presents next Monday 
surprise,The bewilderment of the child Nizan can not be overstated . 
surprise,ON MY WAY HOME NOW!!! :D  Let the 3hr trip begin now :)
joy,"Seems I discovered a way to consistently crash Visual Studio 2010's web server, &quot;WebDev.WebServer40.exe has stopped working&quot;. "
fear, It's not a cut . It's a gash ! It's bigger than a cut ! Ah ! I need a doctor . 
fear,"He had thus been forced to hide his ignorance , which ill became a bohemian poet , when the trial burst upon a horrified society . "
anger,raaah it's not even december yet but i've already got to put up with the radio playing All I Want For Christmas Is You? 
surprise,@gracehinckley hahahahaha I didn't know Asian girls could lift stuff that big. 
surprise,Late Night Phone Calls #howlovely
sadness,I wish I went to the Watch The Throne concert 
sadness,"My little cat which I had raised all by myself, hanged itself when playing in the garden."
neutral, It sure is . 
anger, I know ! But it's really important to her ! Her whole life could be ruined by this man ! 
neutral, It's a very popular game in America . 
surprise,The look on people's face when they come 2 place of employment &amp; discover I'm not white like my voice sounds&gt;&gt;&gt;&gt;&gt;&gt;&gt;     #FooledYou
neutral, that ’ s true . I ’ m wondering did you learn anything from the job ? 
sadness,"@ManMadeMoon agree with you about doubting the benefits of 3d. Good for making money, but ruins the experience of the film for me "
joy,Well I guess I should study my ten pages of science notes. .
sadness,"Damn! Loved that place, too! RT @GailSimone: Check News.change.org for the full scoop on Chick-fil-a's homophobic official stance."
fear,"&quot;Seek not happiness too greedily, and be not fearful of happiness.&quot; ~ Lao tzu   "
fear, to perform You're Gonna Go Far Kid by Offspring on my next tour! having regrets #TWLOHA @TWLOHA
anger, Quiet everybody ! 
fear,"She don't like salami, she don't want pastrami...she just wants my beef boloney. BEEF BEEF BEEF, beef boloney. "
fear,have to drink water so that the kidneys are not sick !! :(
surprise,happy sweet sixteen @katieanne1210 love you! 
anger,"Stupid girl , making me spend so much money , now I have to get it from the ATM ... "
joy,"New job, Orientation Boring...Good changes are starting to happen and I'm proud of myself for making it through most of the tough times "
anger,Tak payah nak love me long time sangat lah . Bontot aku basah sampai dekat SSP kot and I was shivering the whole time in the car :| 
anger,people who don't know the meaning of ignorant dhjnerwngvreiuovhuwbfrfgiodsj 
anger,My boy-friend had promised me to come an 10 a.m. - he was 3 hours late.
joy,Stuffing my face before the drive and the awkward family mingling We're not even American....
surprise,@CCFCtweetleague I predict 2-1 to the Super Sky Blues for Hull on Saturday 
fear,This dentist is going to destroy my face. 
joy," Oh , hi ! I'm Barbara Johnson . Nice to meet you . "
sadness,How sad am I that I'm sitting in the food court alone eating food from home. 
anger,"When they got to the florist and Georg saw his father emerging he really was cross , so cross he leapt out from the driver 's seat and intercepted Willi on the pavement . "
neutral,Who is it ? 
sadness,Always tired in winter.. Must be the darkness 
joy,Early morning  silver-white w/emerald thru you 12X-build pillar up/down/around-walk as yr pillar-breathe  
neutral, You have to go and fix it . 
fear,"“@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less”"
anger,Bitch if ur forcing me 2 be somewhere don't expect me 2 be happy!! &gt;:/ 
anger,"I can deal with and #frustration, but #hatred is of  another dimension and scares me so. Where  to find the source? #racism #violence"
neutral," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "
surprise,@and_tuts try's to turn it out in a bathro during a commercial at a steelers bar. There is now a huge line. 
surprise,@megfellS hahahah yes jeff said he left those behind for you  there was half a sausage too but we trashed it #sorry
joy,Slow cooker sausage casserole for dinner then choc fondue for pudding with catch up telly. And bonus I have a husband off work tmrw ? 
joy,Quarter Final game against BAC. Let's win this  :) @kelseypatootie @YouGotLeonard @FranchizNatal @OMDree @SAMshine3 #Pao
anger, I think it's because of your bad habits ! 
fear,@RevRunWisdom dont things just #fear what you didnt do and make sure you do them the next time you can.
neutral, Fine . 
sadness,When I heard about the death of my aunt.
neutral," Oh , I see . "
fear,I was on this amusement park ride at Marriots Great America. It went way up in the air and then around and around. Heights are not my favorite spots in life.
sadness,Missing my flat tummy ): its always super flat in the morning and then in the evening its like hugee :/ 
joy,Another long day of work tomorrow 
sadness,When my mother and father separated (it was a brief separation and they are together now).
sadness,He has a doggy cold:( had to leave him at the vet! RT @Brandon_J_: @skyemtaylor oh no what's wrong?
sadness,I'm so upset Clemson won that I will cry myself to sleep tonight :'(  
surprise,would HAVE!! RT @Emilys_Heart_ Nearly picked up the pot of chili to put on my toast instead of jam.... That would of been a nice 
joy,Yay for another shitty day today 
joy,I was called and invited to have a talk about a job I wanted to have.
anger,"I was even more infuriated to read that their short separation was a ` tragedy "" . "
surprise,Commentator hasn't picked up on Giggs second time throwing someone to the floor 
joy,The participants in folk dance can and certainly do show elation . 
sadness, I am sorry . There is a speed limit . 
joy,"At various periods in his life , he had felt contented , satisfied , angry -- certainly angry -- smug , remorseful , even guilty . "
anger,"I am very whiney today, my sincere apologies. Wtfuffle. Rage."
surprise,Making a cake for Jesus's birthday party tomorrow...  : ) @jesus 
joy,Break! Someone has been kind to you when you really needed it. Remember their kindness &amp; feel it again. #LJB
neutral, Yes . 
joy,Pee-wee wrestling tournament... 
sadness,finished season 4 of dexter 
joy,It's done. I ordered a Kindle. I'm excited to get my read on! What are you excited about this Holiday season? 
joy,"Love Is Life &amp;&amp; Life Is Loving,,. Very Special "
surprise,Feelin' good on 5 hours of sleep?  
sadness,"@theTrestle I miss you, is G coming home for Xmas?  #benjaminbutton #xmasparty?!?"
anger,When the morning newspaper has not arrived.
joy,gonna get my Canon Rebel T3 on Black Friday!! 
joy,Are these really my emotions? Am I really this happy? WOW looking back I would have said this is possible ♥
sadness,My child passed away after a short illness when he was just eleven months old. I was only told about his death without knowing that he had been ill.
surprise,@PhatbaySA....eMallume Vusi Khulekhani Manana wen will u start planing 4 my Birthday Party?? Lmfao
sadness,Some nights I miss you but then I remember all that you put me through then I remember why I hate you 
sadness,"` You must n't be downcast , "" said Lydia . "
surprise,"It is also worth speculating on the fate of what must have been a nonplussed Christopher Chryselius , Sir John Pennington must have been thoroughly annoyed at the outcome , too . "
sadness,"@zoewinters you've abandoned me on the chats of late, forcing me to resort to tweeting "
sadness,"` It is that hard , "" he said ominously , and I thought of John Maggovertski 's sadness for a pretty girl who had whored herself to pay for the white powder . "
fear,   Infiltration in our lives. The illusion of so we accept their political Solutions. #Tyranny
joy,Dont you love crouded trains full of year 9s -_- 
surprise,my niece just screamed on the phone when I told her I'd see her tomorrow cuz she didn't think I was coming home until December 
surprise,Niks geregeld krijgen om morgen met de auto naar school te gaan.. 
sadness,When someone I love told me that she did not love me anymore and that she wanted all the snaps that she had given me in exchange for the ones I had given her.
anger," &quot;If you are patient in one moment of anger, you will escape a hundred days of sorrow.&quot;  "
sadness,I miss her so much... Huhhhh!!! If only i had that chance to b with her before she left!!! 
disgust,@3rdculturekid @markosborne04 @earnestdjohnson @troypayne sad thing is I was ready to say good job Knicks but not these Knicks fans 
joy,@ClaireCater1 The apparent on your Mum's face is very moving. Technology really can do some amazing things.
neutral, Oh yeah ? 
neutral," And I bet you studied , too . "
joy,Christmas music at CITB band practice!! 
joy,"just finished work, legs killing, back aching need my bed and it happens all again tomorrow "
sadness,"@DDub_Gurl4Ever I'll be missin #BB tonight, going to an annual Christmas concert then out with the band! @SonsofMaxwell"
joy,"Today I have eaten steak, slept, and messed with the cat. Loving my birthday so far. Next I will grocery shop for things I don't need. "
sadness,Watching the state football game. We should be there playing whitehaven. 
anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. 
joy,"Is up this early why?!?! Oh yeah, off to  for a meeting!!! "
joy,"If you plan on knocking me down you are going to have to pick all 500,000 plus readers of my poetry back up. FOLLOW @MISSDISILGOLD Thx"
neutral, Alecia . 
joy,So tired... 3 more hours of work. 
surprise,"Lol, the first time I meet my sister's boyfriend, and he's half naked "
anger,"; is it natural for my chest to hurt, and for my heart to be pounding this much, and for my blood pressure to rise!?! GAH! sucks."
joy,gonna get in trouble for not knowing my bat mitzvah stuff.. teacher is gonna yell at me #letthefunbegin #gonnaruinmyday
sadness,@dark_barcelona saw a fat one.... body suit. right down to the draws smh 
sadness,@WalkingDead_AMC The MidSeason Finale was the most inhumane human ending EVER!      
neutral, No . Why ? 
neutral, Tony Bush . 
joy,"Puis en rentrant faut que je fasse à manger, le ménage et mon sac "
joy, Let's say about 6:00 ? 
fear,@socialkaty Me too. Actual %'s seem less important than psychology behind it. I know so many biz savvy Gen Xers who still resist. 
joy,U can't love others if you have not experienced the love of God in your life!    #HBCDenver
sadness,Its hard to be separated from the one you really love! Even for a min!.....
joy,' final tomorrow... Class &amp; Stratification..!! ...i need entertainment! Im tired of studying.. 
joy,"He 's a very contented baby , a joy to his parents and big sister , and today at nine weeks old ( 40+3 ) , he smiled at us for the first time . "
surprise,**** Just got home :) He bought me Oreo Cheesecake and McDo! :) Had my early dinner at Flaming Wings! #HappyGirl
joy,i hate myself for being such a procrastinator. midnight shower then five hours of sleep. 
fear,"You can't have your dream, if you are afraid of your dream. What ever you fear - you will meet. The answer = Courage + Self-Awareness "
joy, OK . Then I'll be expecting you . 
